QUESTION ,Option 1,Option 2,Option 3,Option 4,CORRECT ANSWER
,,,,,
,,,,,
The wave nature of light is evidenced by,Photoelectric effect ,Interference,Black body radiation,emission.,2
"If two waves (y1) and (y2) traverse in a medium, then the resultant displacement at a point in the medium is given by ",Y1-Y2,Y1+Y2,Y1*Y2,Y1/Y2,2
The condition for destructive interference is path difference should be equal to,odd integral multiple of wavelength,Integral multiple of wavelength,odd integral multiple of half wavelength, Integral multiple of half wavelength ,3
Correlation between the field at a point and the field at the same point at later time is known as ,Temporal coherence ,Spatial coherence   , coherence,none,1
Which one is not condition of Monochromatic,Two sources should be coherent,The source must be narrow,The source should be Monochromatic,ALL,3
The main principle used in interference is,Heisenberg uncertainity Principle,Superposition Principle,Fermi Principle,Quantum Principle,2
The path difference=  ________ *Phase difference,2𝜋/𝜆,4Π/λ,λ/2π,λ/4π,3
 The condition for constructive interference is path difference should be equal to,  Odd Integral Multiple Of Wavelength,Integral Multiple Of Wavelength, Odd Integral Multiple Of Half Wavelength,Integral Multiple Of Half Wavelength ,2
"The ratio of intensities of two waves that produce interference pattern is 16:1 then the
ratio of maximum and minimum intensities in the pattern is 
", 25:9,   9:25 ,   1: 4 ,. 4:1,1
A phase difference π between two interfering beams is equivalent to the path difference, λ, λ/2,     λ/3 ,  λ/4 ,2
 The penetration of waves into the regions of the geometrical shadow is, Dispersion ,polarization ,diffraction ,interference,3
Young’s double slit experiment is an example of division of , amplitude , Wavelength , wave front ,. None,3
1 A⁰=,10-5 cm,10-8m,     10-8  cm,   10-10  cm,3
"When two waves of Same ampitude add constructively,then intensity becomes",Double,half,Four times,One fourth,3
The shape of fringes observed in Newtons rings are,linear,hyperbolic,circular,elliptical,3
Interference occurs due to _______ of light , Wave nature , particle nature ,. both a and b ,none of these,1
Superposition of crest and trough results in __________ , Destructive interference ,Constructive interference,Diffraction,Polarization,1
". Two waves having their intensities in the ratio 9:1 produce interference. In the
interference pattern the ratio of maximum to minimum intensity is equal to
", 2:1 , 9:1, 3:1 ,  4:1 ,4
Two interfering beams have their amplitudes ratio 2:1 then the intensity ratio of bright, 2:1 ,  1:2 ,  9:1 , 4:1,3
 If the two coherent waves intensity ratio is 9:4 then the ratio of maximum to minimum the the intensity of fringe is, 25:9 , 9:25 ,01:04,25:01:00,4
Interference is observed in,white light,Achromatic light,Monochromatic light,Poly chromatic light,3
 Interference due to reflected light is also called _________ law , sine law , cosine law ,Tangent law ,cotangent law,2
Interference is observed only when the phase difference between two waves must be,only zero,only constant,can be any value,can be zero or constant,4
"If the thickness of the parallel film increases, the path difference ",increases,. Decreases ,remains same ,. None of these,1
According to Stoke's Principle the expression for maxima is 2μtcosr=,nλ,2nλ,(2n+1)λ/2,(n+1)λ/2,3
In Newton’s rings experiment λ= ___________ (n > m) ,Dm2-Dn2/4R(m-n) ,Dm2  +   Dn2/4R(m-n),Dm2  +   Dn2/4R(m-n),Dm3   -   Dn3/4R(m-n),3
What is the phase difference between the waves y=acosωt and y= acos(ωt+Ø),Ø,ωt,ωt+Ø,a,1
